0.524,0.391,0.285,0.209,0.157,0.066,0.054,0.045,0.038,0.035,0.148,0.17,0.229,0.273,0.302,2
0.563,0.442,0.344,0.269,0.207,0.103,0.085,0.073,0.064,0.059,0.084,0.096,0.121,0.141,0.15,2
0.498,0.388,0.304,0.229,0.186,0.097,0.082,0.07,0.061,0.056,0.107,0.122,0.154,0.166,0.168,2
0.459,0.348,0.265,0.199,0.155,0.085,0.071,0.061,0.053,0.048,0.118,0.134,0.169,0.185,0.188,2
0.556,0.437,0.33,0.252,0.201,0.106,0.088,0.074,0.065,0.06,0.072,0.083,0.107,0.121,0.126,2
0.533,0.427,0.347,0.279,0.245,0.133,0.114,0.102,0.093,0.091,0.06,0.068,0.081,0.083,0.083,2
0.449,0.334,0.256,0.199,0.161,0.073,0.06,0.051,0.046,0.042,0.138,0.157,0.199,0.22,0.232,2
0.507,0.384,0.279,0.207,0.158,0.078,0.064,0.053,0.045,0.041,0.125,0.144,0.194,0.222,0.235,2
0.49,0.375,0.275,0.197,0.139,0.062,0.052,0.043,0.037,0.032,0.151,0.173,0.229,0.264,0.284,2
0.389,0.271,0.189,0.136,0.119,0.057,0.046,0.038,0.033,0.031,0.173,0.198,0.258,0.293,0.306,2
0.474,0.35,0.268,0.207,0.158,0.075,0.062,0.053,0.048,0.044,0.118,0.136,0.181,0.202,0.213,2
0.573,0.484,0.4,0.329,0.277,0.129,0.114,0.102,0.092,0.087,0.076,0.086,0.11,0.124,0.13,2
0.541,0.448,0.364,0.303,0.251,0.094,0.083,0.074,0.068,0.064,0.11,0.122,0.15,0.166,0.175,2
0.6,0.469,0.353,0.268,0.219,0.109,0.09,0.075,0.065,0.06,0.068,0.079,0.111,0.133,0.143,2
0.477,0.347,0.246,0.177,0.141,0.076,0.061,0.051,0.044,0.041,0.119,0.139,0.187,0.217,0.226,2
0.515,0.404,0.307,0.223,0.153,0.074,0.062,0.052,0.044,0.037,0.116,0.133,0.177,0.209,0.23,2
0.494,0.383,0.29,0.207,0.142,0.057,0.048,0.041,0.035,0.032,0.169,0.194,0.255,0.296,0.324,2
0.464,0.37,0.295,0.244,0.204,0.078,0.067,0.059,0.054,0.051,0.118,0.132,0.164,0.182,0.188,2
0.466,0.347,0.265,0.221,0.196,0.089,0.073,0.063,0.057,0.055,0.1,0.115,0.143,0.154,0.157,2
0.53,0.428,0.347,0.283,0.218,0.092,0.078,0.069,0.063,0.061,0.092,0.104,0.131,0.14,0.142,2
0.557,0.449,0.345,0.251,0.194,0.079,0.067,0.056,0.047,0.042,0.104,0.118,0.157,0.183,0.206,2
0.472,0.342,0.248,0.184,0.129,0.05,0.041,0.034,0.03,0.028,0.19,0.22,0.299,0.354,0.388,2
0.523,0.414,0.329,0.254,0.199,0.075,0.064,0.056,0.049,0.044,0.132,0.15,0.197,0.236,0.258,2
0.5,0.394,0.31,0.244,0.203,0.074,0.063,0.055,0.049,0.046,0.134,0.15,0.188,0.21,0.217,2
0.548,0.42,0.311,0.231,0.156,0.072,0.06,0.05,0.042,0.038,0.117,0.136,0.188,0.222,0.234,2
0.452,0.348,0.261,0.194,0.147,0.066,0.055,0.047,0.04,0.037,0.152,0.174,0.226,0.262,0.272,2
0.521,0.39,0.282,0.201,0.145,0.08,0.066,0.055,0.047,0.042,0.108,0.125,0.169,0.197,0.211,2
0.512,0.4,0.315,0.246,0.196,0.076,0.065,0.056,0.05,0.046,0.127,0.144,0.188,0.214,0.226,2
0.527,0.395,0.285,0.204,0.124,0.065,0.053,0.044,0.037,0.033,0.143,0.164,0.219,0.254,0.276,2
0.476,0.353,0.258,0.187,0.135,0.068,0.056,0.047,0.042,0.038,0.145,0.166,0.218,0.246,0.263,2
0.467,0.342,0.239,0.166,0.112,0.057,0.046,0.038,0.033,0.03,0.183,0.21,0.281,0.331,0.354,2
0.533,0.41,0.311,0.231,0.186,0.104,0.086,0.073,0.064,0.06,0.087,0.099,0.129,0.145,0.151,2
0.445,0.309,0.211,0.155,0.126,0.068,0.054,0.044,0.038,0.037,0.153,0.179,0.241,0.27,0.283,2
0.488,0.385,0.297,0.215,0.16,0.087,0.074,0.063,0.054,0.048,0.111,0.125,0.166,0.194,0.203,2
0.453,0.347,0.265,0.205,0.157,0.075,0.062,0.054,0.047,0.044,0.124,0.14,0.18,0.202,0.212,2
0.505,0.415,0.335,0.274,0.236,0.103,0.09,0.079,0.071,0.067,0.084,0.096,0.119,0.133,0.138,2
0.556,0.452,0.351,0.269,0.208,0.103,0.088,0.075,0.065,0.06,0.078,0.089,0.118,0.139,0.15,2
0.447,0.304,0.204,0.135,0.081,0.055,0.043,0.035,0.029,0.026,0.169,0.197,0.272,0.331,0.368,2
0.492,0.381,0.292,0.22,0.146,0.065,0.055,0.047,0.041,0.037,0.141,0.161,0.211,0.245,0.26,2
0.445,0.316,0.214,0.147,0.104,0.062,0.05,0.041,0.034,0.03,0.158,0.181,0.246,0.29,0.313,2
0.532,0.414,0.31,0.248,0.2,0.097,0.081,0.069,0.061,0.057,0.091,0.105,0.137,0.153,0.162,2
0.524,0.39,0.274,0.182,0.095,0.063,0.051,0.041,0.034,0.029,0.145,0.168,0.232,0.282,0.321,2
0.474,0.363,0.276,0.196,0.133,0.076,0.063,0.053,0.045,0.039,0.125,0.141,0.183,0.21,0.228,2
